Question,GPT-4 Answer,Correct Answer,Is Correct
What is 560 + 512?,1072,1072,True
What is 410 + 466?,876,876,True
What is 946 + 839?,1785,1785,True
What is 547 + 171?,718,718,True
What is 563 + 771?,1334,1334,True
What is 273 + 620?,893,893,True
What is 381 + 990?,1371,1371,True
What is 837 + 800?,1637,1637,True
What is 704 + 941?,1645,1645,True
What is 138 + 601?,739,739,True
What is 625 + 470?,1095,1095,True
What is 887 + 290?,1177,1177,True
What is 112 + 553?,665,665,True
What is 368 + 933?,1301,1301,True
What is 759 + 372?,1131,1131,True
What is 831 + 447?,1278,1278,True
What is 385 + 942?,1327,1327,True
What is 484 + 356?,840,840,True
What is 416 + 142?,558,558,True
What is 431 + 128?,559,559,True
What is 648 + 794?,1442,1442,True
What is 345 + 704?,1049,1049,True
What is 564 + 833?,1397,1397,True
What is 433 + 529?,962,962,True
What is 602 + 883?,1485,1485,True
What is 745 + 747?,1492,1492,True
What is 227 + 977?,1204,1204,True
What is 364 + 231?,595,595,True
What is 794 + 319?,1113,1113,True
What is 531 + 679?,1210,1210,True
What is 949 + 433?,1382,1382,True
What is 188 + 375?,563,563,True
What is 512 + 196?,708,708,True
What is 439 + 384?,823,823,True
What is 438 + 778?,1216,1216,True
What is 523 + 523?,1046,1046,True
What is 540 + 160?,700,700,True
What is 139 + 509?,648,648,True
What is 339 + 508?,847,847,True
What is 543 + 750?,1293,1293,True
What is 891 + 701?,1592,1592,True
What is 885 + 774?,1659,1659,True
What is 419 + 490?,909,909,True
What is 227 + 495?,722,722,True
What is 455 + 863?,1318,1318,True
What is 596 + 933?,1529,1529,True
What is 510 + 678?,1188,1188,True
What is 872 + 816?,1688,1688,True
What is 883 + 502?,1385,1385,True
What is 119 + 703?,822,822,True
What is 438 + 674?,1112,1112,True
What is 485 + 109?,594,594,True
What is 693 + 339?,1032,1032,True
What is 243 + 316?,559,559,True
What is 773 + 249?,1022,1022,True
What is 650 + 184?,834,834,True
What is 586 + 292?,878,878,True
What is 585 + 811?,1396,1396,True
What is 787 + 887?,1674,1674,True
What is 450 + 276?,726,726,True
What is 457 + 645?,1102,1102,True
What is 316 + 967?,1283,1283,True
What is 548 + 481?,1029,1029,True
What is 471 + 614?,1085,1085,True
What is 718 + 927?,1645,1645,True
What is 769 + 706?,1475,1475,True
What is 385 + 214?,599,599,True
What is 722 + 560?,1282,1282,True
What is 316 + 213?,529,529,True
What is 637 + 981?,1618,1618,True
What is 970 + 192?,1162,1162,True
What is 390 + 922?,1312,1312,True
What is 286 + 964?,1250,1250,True
What is 489 + 250?,739,739,True
What is 368 + 653?,1021,1021,True
What is 930 + 786?,1716,1716,True
What is 841 + 682?,1523,1523,True
What is 799 + 468?,1267,1267,True
What is 909 + 487?,1396,1396,True
What is 724 + 614?,1338,1338,True
What is 622 + 180?,802,802,True
What is 273 + 444?,717,717,True
What is 577 + 496?,1073,1073,True
What is 742 + 560?,1302,1302,True
What is 928 + 327?,1255,1255,True
What is 261 + 595?,856,856,True
What is 667 + 915?,1582,1582,True
What is 405 + 989?,1394,1394,True
What is 500 + 898?,1398,1398,True
What is 779 + 713?,1492,1492,True
What is 103 + 254?,357,357,True
What is 253 + 319?,572,572,True
What is 943 + 576?,1519,1519,True
What is 880 + 497?,1377,1377,True
What is 872 + 895?,1767,1767,True
What is 680 + 198?,878,878,True
What is 289 + 251?,540,540,True
What is 157 + 134?,291,291,True
What is 305 + 823?,1128,1128,True
What is 189 + 538?,727,727,True
