Question,GPT-4 Answer,Correct Answer,Is Correct
What is 64 * 56?,3584,3584,True
What is 47 * 58?,2726,2726,True
What is 99 * 38?,3762,3762,True
What is 59 * 90?,5310,5310,True
What is 27 * 78?,2106,2106,True
What is 47 * 53?,2491,2491,True
What is 63 * 83?,5229,5229,True
What is 41 * 20?,820,820,True
What is 18 * 77?,1386,1386,True
What is 75 * 45?,3375,3375,True
What is 91 * 22?,2002,2002,True
What is 63 * 65?,4095,4095,True
What is 19 * 58?,1102,1102,True
What is 87 * 33?,2871,2871,True
What is 12 * 89?,1068,1068,True
What is 76 * 73?,5528,5548,False
What is 47 * 22?,1034,1034,True
What is 53 * 11?,583,583,True
What is 40 * 92?,3680,3680,True
What is 100 * 17?,1700,1700,True
What is 61 * 62?,3782,3782,True
What is 80 * 26?,2080,2080,True
What is 100 * 54?,5400,5400,True
What is 91 * 76?,6916,6916,True
What is 41 * 52?,2132,2132,True
What is 39 * 59?,2301,2301,True
What is 88 * 61?,5368,5368,True
What is 27 * 53?,1431,1431,True
What is 18 * 64?,1152,1152,True
What is 44 * 15?,660,660,True
What is 85 * 51?,4335,4335,True
What is 46 * 68?,3128,3128,True
What is 24 * 54?,1296,1296,True
What is 11 * 99?,1089,1089,True
What is 29 * 53?,1537,1537,True
What is 28 * 33?,924,924,True
What is 25 * 82?,2050,2050,True
What is 65 * 57?,3705,3705,True
What is 28 * 36?,1008,1008,True
What is 17 * 35?,595,595,True
What is 70 * 11?,770,770,True
What is 65 * 100?,6500,6500,True
What is 62 * 58?,3596,3596,True
What is 35 * 79?,2765,2765,True
What is 77 * 42?,3234,3234,True
What is 79 * 80?,6320,6320,True
What is 54 * 75?,4050,4050,True
What is 71 * 87?,6177,6177,True
What is 36 * 49?,1764,1764,True
What is 92 * 48?,4416,4416,True
What is 97 * 21?,2037,2037,True
What is 64 * 27?,1728,1728,True
What is 17 * 69?,1173,1173,True
What is 96 * 95?,9120,9120,True
What is 33 * 97?,3201,3201,True
What is 83 * 45?,3735,3735,True
What is 100 * 37?,3700,3700,True
What is 77 * 43?,3311,3311,True
What is 79 * 96?,7584,7584,True
What is 35 * 16?,560,560,True
What is 96 * 30?,2880,2880,True
What is 28 * 93?,2604,2604,True
What is 54 * 79?,4266,4266,True
What is 62 * 42?,2604,2604,True
What is 100 * 56?,5600,5600,True
What is 82 * 16?,1312,1312,True
What is 92 * 49?,4508,4508,True
What is 88 * 50?,4400,4400,True
What is 15 * 22?,330,330,True
What is 33 * 58?,1914,1914,True
What is 32 * 28?,896,896,True
What is 85 * 18?,1530,1530,True
What is 29 * 79?,2291,2291,True
What is 58 * 78?,4524,4524,True
What is 63 * 53?,3339,3339,True
What is 91 * 100?,9100,9100,True
What is 52 * 87?,4524,4524,True
What is 54 * 77?,4158,4158,True
What is 97 * 21?,2037,2037,True
What is 22 * 78?,1716,1716,True
What is 17 * 98?,1666,1666,True
What is 81 * 65?,5265,5265,True
What is 98 * 72?,7056,7056,True
What is 64 * 67?,4288,4288,True
What is 34 * 29?,986,986,True
What is 39 * 72?,2808,2808,True
What is 64 * 67?,4288,4288,True
What is 85 * 92?,7820,7820,True
What is 98 * 37?,3626,3626,True
What is 38 * 93?,3534,3534,True
What is 99 * 55?,5445,5445,True
What is 51 * 56?,2856,2856,True
What is 69 * 97?,6693,6693,True
What is 31 * 43?,1333,1333,True
What is 52 * 60?,3120,3120,True
What is 50 * 18?,900,900,True
What is 48 * 34?,1632,1632,True
What is 91 * 50?,4550,4550,True
What is 88 * 51?,4488,4488,True
What is 79 * 49?,3871,3871,True
