Question,GPT-4 Answer,Correct Answer,Is Correct
What is 22 + 97?,119,119,True
What is 16 + 67?,83,83,True
What is 91 + 92?,183,183,True
What is 46 + 31?,77,77,True
What is 26 + 50?,76,76,True
What is 46 + 96?,142,142,True
What is 76 + 98?,174,174,True
What is 85 + 34?,119,119,True
What is 70 + 23?,93,93,True
What is 91 + 19?,110,110,True
What is 60 + 46?,106,106,True
What is 90 + 13?,103,103,True
What is 25 + 48?,73,73,True
What is 25 + 29?,54,54,True
What is 47 + 19?,66,66,True
What is 40 + 35?,75,75,True
What is 40 + 48?,88,88,True
What is 60 + 85?,145,145,True
What is 63 + 54?,117,117,True
What is 34 + 66?,100,100,True
What is 94 + 64?,158,158,True
What is 50 + 89?,139,139,True
What is 29 + 12?,41,41,True
What is 99 + 38?,137,137,True
What is 40 + 33?,73,73,True
What is 61 + 25?,86,86,True
What is 36 + 59?,95,95,True
What is 78 + 18?,96,96,True
What is 29 + 60?,89,89,True
What is 22 + 53?,75,75,True
What is 51 + 65?,116,116,True
What is 32 + 69?,101,101,True
What is 84 + 94?,178,178,True
What is 41 + 57?,98,98,True
What is 72 + 68?,140,140,True
What is 76 + 86?,162,162,True
What is 99 + 48?,147,147,True
What is 52 + 33?,85,85,True
What is 80 + 50?,130,130,True
What is 11 + 49?,60,60,True
What is 64 + 40?,104,104,True
What is 82 + 28?,110,110,True
What is 91 + 76?,167,167,True
What is 91 + 64?,155,155,True
What is 47 + 29?,76,76,True
What is 44 + 11?,55,55,True
What is 88 + 47?,135,135,True
What is 62 + 72?,134,134,True
What is 81 + 82?,163,163,True
What is 63 + 89?,152,152,True
What is 96 + 49?,145,145,True
What is 28 + 26?,54,54,True
What is 42 + 43?,85,85,True
What is 68 + 17?,85,85,True
What is 58 + 82?,140,140,True
What is 54 + 81?,135,135,True
What is 56 + 33?,89,89,True
What is 40 + 75?,115,115,True
What is 43 + 86?,129,129,True
What is 20 + 100?,120,120,True
What is 59 + 36?,95,95,True
What is 27 + 74?,101,101,True
What is 24 + 85?,109,109,True
What is 85 + 58?,143,143,True
What is 38 + 79?,117,117,True
What is 59 + 79?,138,138,True
What is 80 + 17?,97,97,True
What is 77 + 34?,111,111,True
What is 40 + 98?,138,138,True
What is 87 + 83?,170,170,True
What is 35 + 11?,46,46,True
What is 37 + 75?,112,112,True
What is 100 + 92?,192,192,True
What is 13 + 34?,47,47,True
What is 65 + 43?,108,108,True
What is 22 + 56?,78,78,True
What is 59 + 70?,129,129,True
What is 87 + 49?,136,136,True
What is 16 + 69?,85,85,True
What is 54 + 34?,88,88,True
What is 73 + 89?,162,162,True
What is 71 + 96?,167,167,True
What is 87 + 48?,135,135,True
What is 94 + 29?,123,123,True
What is 28 + 32?,60,60,True
What is 40 + 47?,87,87,True
What is 56 + 18?,74,74,True
What is 90 + 93?,183,183,True
What is 11 + 71?,82,82,True
What is 18 + 25?,43,43,True
What is 87 + 58?,145,145,True
What is 83 + 65?,148,148,True
What is 28 + 34?,62,62,True
What is 72 + 12?,84,84,True
What is 75 + 71?,146,146,True
What is 70 + 100?,170,170,True
What is 30 + 44?,74,74,True
What is 89 + 53?,142,142,True
What is 53 + 35?,88,88,True
What is 99 + 88?,187,187,True
