Question,GPT-4 Answer,Correct Answer,Is Correct
What is 886 * 318?,281868,281748,False
What is 884 * 468?,413352,413712,False
What is 729 * 914?,"666,306",666306,False
What is 847 * 692?,"587,964",586124,False
What is 718 * 673?,"483,074",483214,False
What is 931 * 338?,314858,314678,False
What is 119 * 402?,47838,47838,True
What is 695 * 166?,115370,115370,True
What is 313 * 493?,"154,409",154309,False
What is 759 * 829?,"628,251",629211,False
What is 917 * 494?,453178,452998,False
What is 847 * 426?,360762,360822,False
What is 931 * 127?,"118,357",118237,False
What is 899 * 275?,246225,247225,False
What is 409 * 548?,224972,224132,False
What is 131 * 349?,45619,45719,False
What is 674 * 435?,293490,293190,False
What is 603 * 689?,"414,627",415467,False
What is 347 * 739?,"256,813",256433,False
What is 295 * 475?,140625,140125,False
What is 939 * 595?,"558,105",558705,False
What is 631 * 539?,"340,249",340109,False
What is 537 * 649?,"348,813",348513,False
What is 828 * 941?,"778,788",779148,False
What is 844 * 284?,239936,239696,False
What is 568 * 624?,"353,472",354432,False
What is 400 * 347?,138800,138800,True
What is 577 * 400?,230800,230800,True
What is 964 * 560?,538240,539840,False
What is 700 * 200?,140000,140000,True
What is 172 * 738?,126696,126936,False
What is 482 * 322?,"155,564",155204,False
What is 984 * 376?,370944,369984,False
What is 748 * 774?,"578,952",578952,False
What is 108 * 637?,68976,68796,False
What is 531 * 149?,79019,79119,False
What is 108 * 955?,103440,103140,False
What is 730 * 407?,"297,110",297110,False
What is 443 * 742?,"328,306",328706,False
What is 359 * 358?,"128,642",128522,False
What is 420 * 752?,316440,315840,False
What is 555 * 778?,431190,431790,False
What is 817 * 679?,"555,263",554743,False
What is 564 * 212?,"119,568",119568,False
What is 279 * 557?,"155,763",155403,False
What is 200 * 826?,165200,165200,True
What is 976 * 627?,"611,652",611952,False
What is 564 * 954?,537216,538056,False
What is 483 * 857?,"414,171",413931,False
What is 649 * 881?,572369,571769,False
What is 812 * 405?,328860,328860,True
What is 173 * 255?,44115,44115,True
What is 180 * 793?,142140,142740,False
What is 451 * 581?,"262,831",262031,False
What is 590 * 801?,The answer is 472890.,472590,False
What is 495 * 862?,426390,426690,False
What is 971 * 367?,"356,237",356357,False
What is 803 * 793?,"635,579",636779,False
What is 973 * 901?,"875,573",876673,False
What is 376 * 241?,90336,90616,False
What is 228 * 195?,44460,44460,True
What is 650 * 998?,649700,648700,False
What is 900 * 330?,297000,297000,True
What is 575 * 214?,123850,123050,False
What is 363 * 267?,"The answer is 97,221.",96921,False
What is 400 * 936?,374400,374400,True
What is 826 * 934?,771964,771484,False
What is 679 * 272?,184568,184688,False
What is 813 * 961?,"780,993",781293,False
What is 340 * 261?,88740,88740,True
What is 114 * 710?,81040,80940,False
What is 329 * 813?,"267,957",267477,False
What is 975 * 866?,843150,844350,False
What is 750 * 422?,316500,316500,True
What is 736 * 869?,"639,784",639584,False
What is 197 * 954?,"187,818",187938,False
What is 318 * 135?,42930,42930,True
What is 233 * 945?,220785,220185,False
What is 327 * 982?,"320,574",321114,False
What is 614 * 642?,"393,708",394188,False
What is 825 * 637?,525375,525525,False
What is 381 * 559?,"212,239",212979,False
What is 512 * 986?,505872,504832,False
What is 366 * 395?,144870,144570,False
What is 456 * 166?,75696,75696,True
What is 306 * 272?,83112,83232,False
What is 896 * 832?,"The answer is 746,752.",745472,False
What is 392 * 302?,118784,118384,False
What is 184 * 835?,"153,640",153640,False
What is 870 * 444?,"385,080",386280,False
What is 285 * 697?,198645,198645,True
What is 252 * 825?,207900,207900,True
What is 112 * 131?,14652,14672,False
What is 808 * 852?,688416,688416,True
What is 338 * 924?,311592,312312,False
What is 102 * 789?,80418,80478,False
What is 917 * 226?,207862,207242,False
What is 933 * 174?,"162,282",162342,False
What is 470 * 528?,248760,248160,False
What is 526 * 236?,124136,124136,True
