Question,Response Text,Predicted Answer,Correct Answer,Is Correct
What is 22 + 97?,"To calculate the sum, I'll add 22 and 97 together.

22 + 97 = 119

#### 119",119.0,119.0,True
What is 16 + 67?,"To calculate 16 + 67, I'll simply add the two numbers together.

16 + 67 = 83

#### 83",83.0,83.0,True
What is 91 + 92?,"To calculate the sum of 91 and 92, I'll simply add the two numbers together.

91 + 92 = 183

#### 183",183.0,183.0,True
What is 46 + 31?,"To calculate the sum, I'll add 46 and 31 together.

46 + 31 = 77

#### 77",77.0,77.0,True
What is 26 + 50?,"To calculate the sum, I'll simply add 26 and 50.

26 + 50 = 76

#### 76",76.0,76.0,True
What is 46 + 96?,"To calculate the sum, I'll add 46 and 96 together.

46 + 96 = 142

#### 142",142.0,142.0,True
What is 76 + 98?,"To calculate the sum, I'll add 76 and 98 together.

76 + 98 = 174

#### 174",174.0,174.0,True
What is 85 + 34?,"To calculate the sum of 85 and 34, I'll simply add the two numbers together.

85 + 34 = 119

#### 119",119.0,119.0,True
What is 70 + 23?,"To calculate 70 + 23, I'll simply add the two numbers together.

70 + 23 = 93

#### 93",93.0,93.0,True
What is 91 + 19?,"To calculate the sum of 91 and 19, we simply add the two numbers together.

91 + 19 = 110

#### 110",110.0,110.0,True
What is 60 + 46?,"60 + 46 = 106

#### 106",106.0,106.0,True
What is 90 + 13?,"To calculate 90 + 13, we simply add the two numbers together.

90 + 13 = 103

#### 103",103.0,103.0,True
What is 25 + 48?,"To calculate the sum of 25 and 48, we simply add the two numbers together.

25 + 48 = 73

#### 73",73.0,73.0,True
What is 25 + 29?,"To calculate the sum, I'll add 25 and 29 together.

25 + 29 = 54

#### 54",54.0,54.0,True
What is 47 + 19?,"To calculate the sum of 47 and 19, I'll simply add the two numbers together.

47 + 19 = 66

#### 66",66.0,66.0,True
What is 40 + 35?,"To calculate 40 + 35, we need to add the two numbers together.

40 + 35 = 75

#### 75",75.0,75.0,True
What is 40 + 48?,"To calculate 40 + 48, I'll simply add the two numbers together.

40 + 48 = 88

#### 88",88.0,88.0,True
What is 60 + 85?,"To calculate 60 + 85, we simply add the two numbers together.

60 + 85 = 145

#### 145",145.0,145.0,True
