Question,Response Text,Predicted Answer,Correct Answer,Is Correct
What is 4 + 7?,"The calculation is 4 + 7 = 11.

#### 11",11.0,11.0,True
What is 8 + 9?,"17

#### 17",17.0,17.0,True
What is 4 + 6?,"The calculation is 4 + 6 = 10.

#### 10",10.0,10.0,True
What is 5 + 5?,"The calculation is 5 + 5 = 10

#### 10",10.0,10.0,True
What is 5 + 5?,"The result of 5 + 5 is 10.

#### 10",10.0,10.0,True
What is 2 + 5?,"2 + 5 = 7

#### 7",7.0,7.0,True
What is 5 + 9?,"5 + 9 = 14

#### 14",14.0,14.0,True
What is 10 + 9?,"19

#### 19",19.0,19.0,True
What is 6 + 8?,"14

#### 14",14.0,14.0,True
What is 4 + 1?,"The result of 4 + 1 is 5.

#### 5",5.0,5.0,True
What is 5 + 7?,"The result of 5 + 7 is 12.

#### 12",12.0,12.0,True
What is 6 + 1?,"The result of 6 + 1 is 7.

#### 7",7.0,7.0,True
What is 6 + 7?,"6 + 7 = 13

#### 13",13.0,13.0,True
What is 6 + 2?,"8

#### 8",8.0,8.0,True
What is 7 + 6?,"7 + 6 = 13

#### 13",13.0,13.0,True
What is 6 + 2?,"6 + 2 = 8

#### 8",8.0,8.0,True
What is 5 + 4?,"5 + 4 = 9

#### 9",9.0,9.0,True
What is 3 + 7?,"The result of 3 + 7 is 10.

#### 10",10.0,10.0,True
What is 5 + 6?,"The result of 5 + 6 is 11.

#### 11",11.0,11.0,True
What is 5 + 3?,"5 + 3 = 8

#### 8",8.0,8.0,True
What is 2 + 3?,"2 + 3 = 5

#### 5",5.0,5.0,True
What is 6 + 9?,"6 + 9 = 15

#### 15",15.0,15.0,True
What is 7 + 4?,"11

#### 11",11.0,11.0,True
What is 2 + 6?,"2 + 6 = 8

#### 8",8.0,8.0,True
What is 7 + 6?,"7 + 6 = 13

#### 13",13.0,13.0,True
What is 2 + 4?,"2 + 4 = 6

#### 6",6.0,6.0,True
What is 9 + 3?,"12

#### 12",12.0,12.0,True
What is 2 + 6?,"The result of 2 + 6 is 8.

#### 8",8.0,8.0,True
What is 9 + 8?,"17

#### 17",17.0,17.0,True
What is 9 + 9?,"The result of 9 + 9 is 18.

#### 18",18.0,18.0,True
What is 2 + 2?,"The answer is 4.

#### 4",4.0,4.0,True
What is 10 + 1?,"11
#### 11",11.0,11.0,True
What is 2 + 6?,"2 + 6 = 8

#### 8",8.0,8.0,True
What is 8 + 10?,"18

#### 18",18.0,18.0,True
What is 5 + 10?,"The calculation is 5 + 10 = 15

#### 15",15.0,15.0,True
What is 2 + 2?,"The answer to 2 + 2 is 4.

#### 4",4.0,4.0,True
What is 9 + 2?,"The calculation is 9 + 2 = 11.

#### 11",11.0,11.0,True
What is 1 + 6?,"7

#### 7",7.0,7.0,True
What is 1 + 2?,"The answer to 1 + 2 is 3.

#### 3",3.0,3.0,True
What is 2 + 2?,"2 + 2 = 4

#### 4",4.0,4.0,True
What is 4 + 2?,"The result of 4 + 2 is 6.

#### 6",6.0,6.0,True
What is 2 + 1?,"The result of 2 + 1 is 3.

#### 3",3.0,3.0,True
What is 9 + 1?,"9 + 1 = 10

#### 10",10.0,10.0,True
What is 6 + 5?,"6 + 5 = 11

#### 11",11.0,11.0,True
What is 7 + 8?,"15

#### 15",15.0,15.0,True
What is 3 + 3?,"The result of 3 + 3 is 6.

#### 6",6.0,6.0,True
What is 7 + 8?,"The result of 7 + 8 is 15.

#### 15",15.0,15.0,True
What is 4 + 6?,"The calculation is 4 + 6 = 10

#### 10",10.0,10.0,True
What is 6 + 9?,"15

#### 15",15.0,15.0,True
What is 7 + 6?,"7 + 6 = 13

#### 13",13.0,13.0,True
What is 7 + 8?,"15

#### 15",15.0,15.0,True
What is 7 + 2?,"7 + 2 = 9

#### 9",9.0,9.0,True
What is 8 + 9?,"The result of 8 + 9 is 17.

#### 17",17.0,17.0,True
What is 8 + 5?,"The calculation is 8 + 5 = 13

#### 13",13.0,13.0,True
What is 1 + 8?,"1 + 8 = 9

#### 9",9.0,9.0,True
What is 5 + 9?,"The result of 5 + 9 is 14.

#### 14",14.0,14.0,True
What is 1 + 1?,"1 + 1 = 2

#### 2",2.0,2.0,True
What is 9 + 1?,"9 + 1 = 10

#### 10",10.0,10.0,True
What is 2 + 2?,"2 + 2 = 4

#### 4",4.0,4.0,True
What is 3 + 2?,"The result of 3 + 2 is 5.

#### 5",5.0,5.0,True
What is 8 + 2?,"The result of 8 + 2 is 10.

#### 10",10.0,10.0,True
What is 10 + 3?,"The calculation is 10 + 3 = 13.

#### 13",13.0,13.0,True
What is 3 + 1?,"3 + 1 = 4

#### 4",4.0,4.0,True
What is 10 + 5?,"15

#### 15",15.0,15.0,True
What is 9 + 10?,"9 + 10 = 19

#### 19",19.0,19.0,True
What is 5 + 3?,"5 + 3 = 8

#### 8",8.0,8.0,True
What is 6 + 7?,"The result of 6 + 7 is 13.

#### 13",13.0,13.0,True
What is 7 + 2?,"9

#### 9",9.0,9.0,True
What is 9 + 9?,"9 + 9 = 18

#### 18",18.0,18.0,True
What is 3 + 7?,"The result of 3 + 7 is 10.

#### 10",10.0,10.0,True
What is 4 + 6?,"The calculation is 4 + 6 = 10.

#### 10",10.0,10.0,True
What is 6 + 1?,"7

#### 7",7.0,7.0,True
What is 3 + 5?,"The calculation is 3 + 5 = 8

#### 8",8.0,8.0,True
What is 2 + 2?,"The answer to 2 + 2 is 4.

#### 4",4.0,4.0,True
What is 6 + 4?,"6 + 4 = 10

#### 10",10.0,10.0,True
What is 2 + 4?,"The result of 2 + 4 is 6.

#### 6",6.0,6.0,True
What is 10 + 4?,"The result of 10 + 4 is 14.

#### 14",14.0,14.0,True
What is 5 + 5?,"5 + 5 = 10

#### 10",10.0,10.0,True
What is 1 + 2?,"1 + 2 = 3

#### 3",3.0,3.0,True
What is 9 + 3?,"9 + 3 = 12

#### 12",12.0,12.0,True
What is 9 + 3?,"12
#### 12",12.0,12.0,True
What is 2 + 10?,"To calculate 2 + 10, we simply add the two numbers together.

The result is: 12

#### 12",12.0,12.0,True
What is 5 + 2?,"7

#### 7",7.0,7.0,True
What is 4 + 7?,"11

#### 11",11.0,11.0,True
What is 9 + 6?,"The result of 9 + 6 is 15.

#### 15",15.0,15.0,True
What is 5 + 6?,"11

#### 11",11.0,11.0,True
What is 1 + 10?,"1 + 10 = 11

#### 11",11.0,11.0,True
What is 1 + 1?,"1 + 1 = 2

#### 2",2.0,2.0,True
What is 5 + 2?,"5 + 2 = 7

#### 7",7.0,7.0,True
What is 9 + 6?,"9 + 6 = 15

#### 15",15.0,15.0,True
What is 1 + 5?,"The result of 1 + 5 is 6.

#### 6",6.0,6.0,True
What is 6 + 4?,"6 + 4 = 10

#### 10",10.0,10.0,True
